Rank,Country,Number of Visa-Free Destinations,Year,Exports,Year_exports,Top export (2021),Imports,Year_imports,Education Index,averageIqByCountry_iqLynnBecker2019,averageIqByCountry_sourceLynnBecker2019,AverageIQ_ICI2017Grade,AverageIQ_ICI2017Score,OverallPisaScore2022,PISAScoresMathScore2022,PISAScoresScienceScore2022,PISAScoresReadingScore2022,LiteracyRateAllGenders,LiteracyRateFemale,LiteracyRateMale,Year_countries_literacy_rate,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2.0,Ireland,193.0,2022.0,723121.0,2022,Blood,147913.0,2022,0.856,95.13,T,B+,53.6,1512.0,492.0,504.0,516.0,,,,,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,48663.6004439251,52219.7057327581,48943.8206459561,51496.9616850661,55752.7649838131,62179.2642662951,62784.0656875694,70150.7370157965,79446.9391085469,80848.3019020489,85973.0884875501,102001.798249145,103983.29133582
4.0,Ireland,189.0,2023.0,723121.0,2022,Blood,147913.0,2022,0.856,95.13,T,B+,53.6,1512.0,492.0,504.0,516.0,,,,,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,48663.6004439251,52219.7057327581,48943.8206459561,51496.9616850661,55752.7649838131,62179.2642662951,62784.0656875694,70150.7370157965,79446.9391085469,80848.3019020489,85973.0884875501,102001.798249145,103983.29133582
6.0,Ireland,187.0,2024.0,723121.0,2022,Blood,147913.0,2022,0.856,95.13,T,B+,53.6,1512.0,492.0,504.0,516.0,,,,,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,48663.6004439251,52219.7057327581,48943.8206459561,51496.9616850661,55752.7649838131,62179.2642662951,62784.0656875694,70150.7370157965,79446.9391085469,80848.3019020489,85973.0884875501,102001.798249145,103983.29133582
2.0,Luxembourg,193.0,2022.0,163585.0,2022,Iron,26068.0,2022,0.794,,,,,,,,,,,,,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,110885.991378721,119025.057203467,112584.676270958,120000.140729859,123678.702143275,105462.012584423,106899.293549552,110193.213797228,116786.511654677,112726.439672814,116905.370396853,133711.794435985,125006.021815486
4.0,Luxembourg,189.0,2023.0,163585.0,2022,Iron,26068.0,2022,0.794,,,,,,,,,,,,,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,110885.991378721,119025.057203467,112584.676270958,120000.140729859,123678.702143275,105462.012584423,106899.293549552,110193.213797228,116786.511654677,112726.439672814,116905.370396853,133711.794435985,125006.021815486
4.0,Luxembourg,189.0,2024.0,163585.0,2022,Iron,26068.0,2022,0.794,,,,,,,,,,,,,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,110885.991378721,119025.057203467,112584.676270958,120000.140729859,123678.702143275,105462.012584423,106899.293549552,110193.213797228,116786.511654677,112726.439672814,116905.370396853,133711.794435985,125006.021815486
2.0,Netherlands,193.0,2022.0,916169.0,2022,Petroleum,712801.0,2022,0.875,100.74,T,A-,58.7,1440.0,493.0,488.0,459.0,,,,,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,50999.7451168879,54230.3129029852,50070.1416045904,52198.8975607454,52900.537415323,45193.4032187971,46039.1059284098,48675.2223350213,53044.5324352253,52476.2732533327,52162.5701150406,58727.8705471475,57025.01245598
4.0,Netherlands,189.0,2023.0,916169.0,2022,Petroleum,712801.0,2022,0.875,100.74,T,A-,58.7,1440.0,493.0,488.0,459.0,,,,,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,50999.7451168879,54230.3129029852,50070.1416045904,52198.8975607454,52900.537415323,45193.4032187971,46039.1059284098,48675.2223350213,53044.5324352253,52476.2732533327,52162.5701150406,58727.8705471475,57025.01245598
5.0,Netherlands,188.0,2024.0,916169.0,2022,Petroleum,712801.0,2022,0.875,100.74,T,A-,58.7,1440.0,493.0,488.0,459.0,,,,,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,50999.7451168879,54230.3129029852,50070.1416045904,52198.8975607454,52900.537415323,45193.4032187971,46039.1059284098,48675.2223350213,53044.5324352253,52476.2732533327,52162.5701150406,58727.8705471475,57025.01245598
2.0,South Korea,193.0,2022.0,820642.0,2022,Integrated circuits,731366.0,2022,0.799,102.35,T,A-,56.4,1570.0,527.0,528.0,515.0,,,,,,,,,,,,,,,,,,,,
3.0,South Korea,190.0,2023.0,820642.0,2022,Integrated circuits,731366.0,2022,0.799,102.35,T,A-,56.4,1570.0,527.0,528.0,515.0,,,,,,,,,,,,,,,,,,,,
2.0,South Korea,192.0,2024.0,820642.0,2022,Integrated circuits,731366.0,2022,0.799,102.35,T,A-,56.4,1570.0,527.0,528.0,515.0,,,,,,,,,,,,,,,,,,,,
2.0,Sweden,193.0,2022.0,310493.0,2022,Cars,202093.0,2022,0.885,97.0,T,A,61.6,1463.0,482.0,494.0,487.0,,,,,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,52869.0442891587,60755.7595508465,58037.8213192173,61126.9431963979,60020.3604576572,51545.4836095322,51965.1571531985,53791.5087298403,54589.0603860606,51939.4297445291,52837.9039778149,61417.6808766469,56424.2846986686
3.0,Sweden,190.0,2023.0,310493.0,2022,Cars,202093.0,2022,0.885,97.0,T,A,61.6,1463.0,482.0,494.0,487.0,,,,,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,52869.0442891587,60755.7595508465,58037.8213192173,61126.9431963979,60020.3604576572,51545.4836095322,51965.1571531985,53791.5087298403,54589.0603860606,51939.4297445291,52837.9039778149,61417.6808766469,56424.2846986686
5.0,Sweden,188.0,2024.0,310493.0,2022,Cars,202093.0,2022,0.885,97.0,T,A,61.6,1463.0,482.0,494.0,487.0,,,,,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,52869.0442891587,60755.7595508465,58037.8213192173,61126.9431963979,60020.3604576572,51545.4836095322,51965.1571531985,53791.5087298403,54589.0603860606,51939.4297445291,52837.9039778149,61417.6808766469,56424.2846986686
3.0,Belgium,192.0,2022.0,551281.0,2022,Vaccines,624289.0,2022,0.859,97.49,T,A-,58.7,1459.0,489.0,491.0,479.0,,,,,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,44184.946353964,47410.5669277464,44670.5606845101,46757.9518559598,47764.0715120833,41008.296719472,42012.6227191016,44198.4823908691,47544.9811472757,46641.7214017087,45609.0034936111,51850.3971840229,49926.8254295305
5.0,Belgium,188.0,2023.0,551281.0,2022,Vaccines,624289.0,2022,0.859,97.49,T,A-,58.7,1459.0,489.0,491.0,479.0,,,,,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,44184.946353964,47410.5669277464,44670.5606845101,46757.9518559598,47764.0715120833,41008.296719472,42012.6227191016,44198.4823908691,47544.9811472757,46641.7214017087,45609.0034936111,51850.3971840229,49926.8254295305
7.0,Belgium,186.0,2024.0,551281.0,2022,Vaccines,624289.0,2022,0.859,97.49,T,A-,58.7,1459.0,489.0,491.0,479.0,,,,,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,44184.946353964,47410.5669277464,44670.5606845101,46757.9518559598,47764.0715120833,41008.296719472,42012.6227191016,44198.4823908691,47544.9811472757,46641.7214017087,45609.0034936111,51850.3971840229,49926.8254295305
3.0,Denmark,192.0,2022.0,273868.0,2022,Packaged medications,125731.0,2022,0.909,97.83,T,A,60.3,1472.0,489.0,494.0,489.0,,,,,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,58041.3984363385,61753.647131977,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59592.9806886454,60836.5924121638,69268.6517983134,67790.0539923276
4.0,Denmark,189.0,2023.0,273868.0,2022,Packaged medications,125731.0,2022,0.909,97.83,T,A,60.3,1472.0,489.0,494.0,489.0,,,,,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,58041.3984363385,61753.647131977,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59592.9806886454,60836.5924121638,69268.6517983134,67790.0539923276
5.0,Denmark,188.0,2024.0,273868.0,2022,Packaged medications,125731.0,2022,0.909,97.83,T,A,60.3,1472.0,489.0,494.0,489.0,,,,,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,58041.3984363385,61753.647131977,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59592.9806886454,60836.5924121638,69268.6517983134,67790.0539923276
3.0,United Kingdom,192.0,2022.0,1001418.0,2022,Gold,816300.0,2022,0.901,99.12,T,A,64.2,1483.0,489.0,500.0,494.0,,,,,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,39598.957119545,42109.6418795749,42497.3404974322,43426.2981405143,47439.6165895125,44964.3911437292,40985.2351382417,40572.1214823783,43203.8141057739,42662.5353740311,40217.0090116986,46869.759058411,46125.2557513568
4.0,United Kingdom,189.0,2023.0,1001418.0,2022,Gold,816300.0,2022,0.901,99.12,T,A,64.2,1483.0,489.0,500.0,494.0,,,,,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,39598.957119545,42109.6418795749,42497.3404974322,43426.2981405143,47439.6165895125,44964.3911437292,40985.2351382417,40572.1214823783,43203.8141057739,42662.5353740311,40217.0090116986,46869.759058411,46125.2557513568
6.0,United Kingdom,187.0,2024.0,1001418.0,2022,Gold,816300.0,2022,0.901,99.12,T,A,64.2,1483.0,489.0,500.0,494.0,,,,,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,39598.957119545,42109.6418795749,42497.3404974322,43426.2981405143,47439.6165895125,44964.3911437292,40985.2351382417,40572.1214823783,43203.8141057739,42662.5353740311,40217.0090116986,46869.759058411,46125.2557513568
4.0,Norway,191.0,2022.0,321076.0,2022,Petroleum,107268.0,2022,0.912,97.13,T,B+,55.0,1423.0,468.0,478.0,477.0,,,,,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,88163.2085931423,101221.813476644,102175.919298374,103553.840134417,97666.6951838749,74809.9658049898,70867.3609970749,76131.8384032764,82792.8427113304,76430.5889473338,68340.0181033702,93072.8925119571,108729.18690323
5.0,Norway,188.0,2023.0,321076.0,2022,Petroleum,107268.0,2022,0.912,97.13,T,B+,55.0,1423.0,468.0,478.0,477.0,,,,,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,88163.2085931423,101221.813476644,102175.919298374,103553.840134417,97666.6951838749,74809.9658049898,70867.3609970749,76131.8384032764,82792.8427113304,76430.5889473338,68340.0181033702,93072.8925119571,108729.18690323
7.0,Norway,186.0,2024.0,321076.0,2022,Petroleum,107268.0,2022,0.912,97.13,T,B+,55.0,1423.0,468.0,478.0,477.0,,,,,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,88163.2085931423,101221.813476644,102175.919298374,103553.840134417,97666.6951838749,74809.9658049898,70867.3609970749,76131.8384032764,82792.8427113304,76430.5889473338,68340.0181033702,93072.8925119571,108729.18690323
4.0,Portugal,191.0,2022.0,105648.0,2021,Cars,115036.0,2022,0.685,92.77,T,B-,44.8,1433.0,472.0,484.0,477.0,97.0,95.9,97.8,2021.0,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,22520.6423124045,23217.2954965207,20563.7136012629,21653.1959752225,22103.7009703321,19250.1065376852,19991.9724878805,21490.429863104,23562.5545228191,23330.817288932,22242.406417972,24661.1664874576,24515.2658507319
5.0,Portugal,188.0,2023.0,105648.0,2021,Cars,115036.0,2022,0.685,92.77,T,B-,44.8,1433.0,472.0,484.0,477.0,97.0,95.9,97.8,2021.0,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,22520.6423124045,23217.2954965207,20563.7136012629,21653.1959752225,22103.7009703321,19250.1065376852,19991.9724878805,21490.429863104,23562.5545228191,23330.817288932,22242.406417972,24661.1664874576,24515.2658507319
6.0,Portugal,187.0,2024.0,105648.0,2021,Cars,115036.0,2022,0.685,92.77,T,B-,44.8,1433.0,472.0,484.0,477.0,97.0,95.9,97.8,2021.0,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,22520.6423124045,23217.2954965207,20563.7136012629,21653.1959752225,22103.7009703321,19250.1065376852,19991.9724878805,21490.429863104,23562.5545228191,23330.817288932,22242.406417972,24661.1664874576,24515.2658507319
4.0,Switzerland,191.0,2022.0,620424.0,2022,Gold,356763.0,2022,0.902,99.24,T,A,61.6,1494.0,508.0,503.0,483.0,,,,,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,76531.3729407691,90476.7589651577,85836.2076767359,87304.3305813557,88724.9909402638,83806.4476003837,82153.0745447889,82254.3769269767,85217.3691512274,84121.9310304414,85897.7843338323,93446.4344518943,93259.9057183024
6.0,Switzerland,187.0,2023.0,620424.0,2022,Gold,356763.0,2022,0.902,99.24,T,A,61.6,1494.0,508.0,503.0,483.0,,,,,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,76531.3729407691,90476.7589651577,85836.2076767359,87304.3305813557,88724.9909402638,83806.4476003837,82153.0745447889,82254.3769269767,85217.3691512274,84121.9310304414,85897.7843338323,93446.4344518943,93259.9057183024
7.0,Switzerland,186.0,2024.0,620424.0,2022,Gold,356763.0,2022,0.902,99.24,T,A,61.6,1494.0,508.0,503.0,483.0,,,,,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,76531.3729407691,90476.7589651577,85836.2076767359,87304.3305813557,88724.9909402638,83806.4476003837,82153.0745447889,82254.3769269767,85217.3691512274,84121.9310304414,85897.7843338323,93446.4344518943,93259.9057183024
5.0,Greece,190.0,2022.0,105756.0,2022,Petroleum,97970.0,2022,0.777,90.77,T,B-,40.1,1309.0,430.0,441.0,438.0,98.0,97.4,98.5,2018.0,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,26716.6488260274,25483.8825644931,21912.9982879517,21787.7877636035,21616.7100094908,18083.8779056547,17923.9668134716,18582.0893411631,19756.990456255,19143.8876174584,17617.2915057014,20310.6824798873,20867.2690861087
7.0,Greece,186.0,2023.0,105756.0,2022,Petroleum,97970.0,2022,0.777,90.77,T,B-,40.1,1309.0,430.0,441.0,438.0,98.0,97.4,98.5,2018.0,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,26716.6488260274,25483.8825644931,21912.9982879517,21787.7877636035,21616.7100094908,18083.8779056547,17923.9668134716,18582.0893411631,19756.990456255,19143.8876174584,17617.2915057014,20310.6824798873,20867.2690861087
8.0,Greece,185.0,2024.0,105756.0,2022,Petroleum,97970.0,2022,0.777,90.77,T,B-,40.1,1309.0,430.0,441.0,438.0,98.0,97.4,98.5,2018.0,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,26716.6488260274,25483.8825644931,21912.9982879517,21787.7877636035,21616.7100094908,18083.8779056547,17923.9668134716,18582.0893411631,19756.990456255,19143.8876174584,17617.2915057014,20310.6824798873,20867.2690861087
5.0,Malta,190.0,2022.0,25417.0,2022,Integrated circuits,8571.0,2022,0.829,91.27,T,B-,40.8,1377.0,466.0,466.0,445.0,95.0,96.4,93.4,2021.0,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,21798.9142935915,23155.103527089,22526.5370208632,24769.5962287121,26753.2733830814,24921.7141769982,25623.9416320597,28813.1853396512,31785.8848300917,31727.0070746362,29597.6361628521,34881.2912726609,34127.5105566356
5.0,Malta,188.0,2023.0,25417.0,2022,Integrated circuits,8571.0,2022,0.829,91.27,T,B-,40.8,1377.0,466.0,466.0,445.0,95.0,96.4,93.4,2021.0,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,21798.9142935915,23155.103527089,22526.5370208632,24769.5962287121,26753.2733830814,24921.7141769982,25623.9416320597,28813.1853396512,31785.8848300917,31727.0070746362,29597.6361628521,34881.2912726609,34127.5105566356
8.0,Malta,185.0,2024.0,25417.0,2022,Integrated circuits,8571.0,2022,0.829,91.27,T,B-,40.8,1377.0,466.0,466.0,445.0,95.0,96.4,93.4,2021.0,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,21798.9142935915,23155.103527089,22526.5370208632,24769.5962287121,26753.2733830814,24921.7141769982,25623.9416320597,28813.1853396512,31785.8848300917,31727.0070746362,29597.6361628521,34881.2912726609,34127.5105566356
5.0,New Zealand,190.0,2022.0,57462.0,2022,Milk,54676.0,2022,0.914,98.57,T,A-,57.3,1484.0,479.0,504.0,501.0,,,,,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,33676.7741239925,38387.6270784076,39973.3807587223,42976.6495882584,44572.8987536626,38630.7265886928,40058.1961621466,42910.9728362488,43236.8866923404,42796.4305818389,41760.5947840005,49996.4206725811,48418.5916631992
6.0,New Zealand,187.0,2023.0,57462.0,2022,Milk,54676.0,2022,0.914,98.57,T,A-,57.3,1484.0,479.0,504.0,501.0,,,,,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,33676.7741239925,38387.6270784076,39973.3807587223,42976.6495882584,44572.8987536626,38630.7265886928,40058.1961621466,42910.9728362488,43236.8866923404,42796.4305818389,41760.5947840005,49996.4206725811,48418.5916631992
